HTTP:   ;POST /api2/json/nodes/{node}/qemu;;;
;;;;
CLI:;pvesh create /nodes/{node}/qemu;;;
Required;;;;
node;string;;<string>;The cluster node name.
vmid;integer;;<integer> (100 - 999999999);The (unique) ID of the VM.
Optional;;;;
acpi;boolean;1;<boolean>;Enable/disable ACPI.
affinity;string;;<string>;List of host cores used to execute guest processes, for example: 0,5,8-11
agent;string;;[enabled=]<1|0> [,freeze-fs-on-backup=<1|0>] [,fstrim_cloned_disks=<1|0>] [,type=<virtio|isa>];Enable/disable communication with the QEMU Guest Agent and its properties.
amd-sev;string;;[type=]<sev-type> [,allow-smt=<1|0>] [,kernel-hashes=<1|0>] [,no-debug=<1|0>] [,no-key-sharing=<1|0>];Secure Encrypted Virtualization (SEV) features by AMD CPUs
arch;enum;;x86_64 | aarch64;Virtual processor architecture. Defaults to the host.
archive;string;;<string>;The backup archive. Either the file system path to a .tar or .vma file (use '-' to pipe data from stdin) or a proxmox storage backup volume identifier.
args;string;;<string>;Arbitrary arguments passed to kvm, for example: args: -no-reboot -smbios 'type=0,vendor=FOO' NOTE: this option is for experts only.
audio0;string;;device=<ich9-intel-hda|intel-hda|AC97> [,driver=<spice|none>];Configure a audio device, useful in combination with QXL/Spice.
autostart;boolean;0;<boolean>;Automatic restart after crash (currently ignored).
balloon;integer;;<integer> (0 - N);Amount of target RAM for the VM in MiB. Using zero disables the ballon driver.
bios;enum;seabios;seabios | ovmf;Select BIOS implementation.
boot;string;;"[[legacy=]<[acdn]{1,4}>] [,order=<device[;device...]>]";Specify guest boot order. Use the 'order=' sub-property as usage with no key or 'legacy=' is deprecated.
bootdisk;string;;pve-qm-bootdisk;"Enable booting from specified disk. Deprecated: Use 'boot: order=foo;bar' instead."
bwlimit;integer;restore limit from datacenter or storage config;<integer> (0 - N);Override I/O bandwidth limit (in KiB/s).
cdrom;string;;<volume>;This is an alias for option -ide2
cicustom;string;;[meta=<volume>] [,network=<volume>] [,user=<volume>] [,vendor=<volume>];cloud-init: Specify custom files to replace the automatically generated ones at start.
cipassword;string;;<string>;cloud-init: Password to assign the user. Using this is generally not recommended. Use ssh keys instead. Also note that older cloud-init versions do not support hashed passwords.
citype;enum;;configdrive2 | nocloud | opennebula;Specifies the cloud-init configuration format. The default depends on the configured operating system type (`ostype`. We use the `nocloud` format for Linux, and `configdrive2` for windows.
ciupgrade;boolean;1;<boolean>;cloud-init: do an automatic package upgrade after the first boot.
ciuser;string;;<string>;cloud-init: User name to change ssh keys and password for instead of the image's configured default user.
cores;integer;1;<integer> (1 - N);The number of cores per socket.
cpu;string;;"[[cputype=]<string>] [,flags=<+FLAG[;-FLAG...]>] [,hidden=<1|0>] [,hv-vendor-id=<vendor-id>] [,phys-bits=<8-64|host>] [,reported-model=<enum>]";Emulated CPU type.
cpulimit;number;0;<number> (0 - 128);Limit of CPU usage. NOTE: If the computer has 2 CPUs, it has total of '2' CPU time. Value '0' indicates no CPU limit.
cpuunits;integer;cgroup v1: 1024, cgroup v2: 100;<integer> (1 - 262144);CPU weight for a VM. Argument is used in the kernel fair scheduler. The larger the number is, the more CPU time this VM gets. Number is relative to weights of all the other running VMs.
description;string;;<string>;Description for the VM. Shown in the web-interface VM's summary. This is saved as comment inside the configuration file.
efidisk0;string;;[file=]<volume> [,efitype=<2m|4m>] [,format=<enum>] [,import-from=<source volume>] [,pre-enrolled-keys=<1|0>] [,size=<DiskSize>];Configure a disk for storing EFI vars. Use the special syntax STORAGE_ID:SIZE_IN_GiB to allocate a new volume. Note that SIZE_IN_GiB is ignored here and that the default EFI vars are copied to the volume instead. Use STORAGE_ID:0 and the 'import-from' parameter to import from an existing volume.
force;boolean;;<boolean>;Allow to overwrite existing VM.
freeze;boolean;;<boolean>;Freeze CPU at startup (use 'c' monitor command to start execution).
hookscript;string;;<string>;Script that will be executed during various steps in the vms lifetime.
hostpci[n];string;;"[[host=]<HOSTPCIID[;HOSTPCIID2...]>] [,device-id=<hex id>] [,legacy-igd=<1|0>] [,mapping=<mapping-id>] [,mdev=<string>] [,pcie=<1|0>] [,rombar=<1|0>] [,romfile=<string>] [,sub-device-id=<hex id>] [,sub-vendor-id=<hex id>] [,vendor-id=<hex id>] [,x-vga=<1|0>]";Map host PCI devices into guest. NOTE: This option allows direct access to host hardware. So it is no longer possible to migrate such machines - use with special care. CAUTION: Experimental! User reported problems with this option.
hotplug;string;network,disk,usb;<string>;Selectively enable hotplug features. This is a comma separated list of hotplug features: 'network', 'disk', 'cpu', 'memory', 'usb' and 'cloudinit'. Use '0' to disable hotplug completely. Using '1' as value is an alias for the default `network,disk,usb`. USB hotplugging is possible for guests with machine version >= 7.1 and ostype l26 or windows > 7.
hugepages;enum;;any | 2 | 1024;Enable/disable hugepages memory.
ide[n];string;;[file=]<volume> [,aio=<native|threads|io_uring>] [,backup=<1|0>] [,bps=<bps>] [,bps_max_length=<seconds>] [,bps_rd=<bps>] [,bps_rd_max_length=<seconds>] [,bps_wr=<bps>] [,bps_wr_max_length=<seconds>] [,cache=<enum>] [,detect_zeroes=<1|0>] [,discard=<ignore|on>] [,format=<enum>] [,import-from=<source volume>] [,iops=<iops>] [,iops_max=<iops>] [,iops_max_length=<seconds>] [,iops_rd=<iops>] [,iops_rd_max=<iops>] [,iops_rd_max_length=<seconds>] [,iops_wr=<iops>] [,iops_wr_max=<iops>] [,iops_wr_max_length=<seconds>] [,mbps=<mbps>] [,mbps_max=<mbps>] [,mbps_rd=<mbps>] [,mbps_rd_max=<mbps>] [,mbps_wr=<mbps>] [,mbps_wr_max=<mbps>] [,media=<cdrom|disk>] [,model=<model>] [,replicate=<1|0>] [,rerror=<ignore|report|stop>] [,serial=<serial>] [,shared=<1|0>] [,size=<DiskSize>] [,snapshot=<1|0>] [,ssd=<1|0>] [,werror=<enum>] [,wwn=<wwn>];Use volume as IDE hard disk or CD-ROM (n is 0 to 3). Use the special syntax STORAGE_ID:SIZE_IN_GiB to allocate a new volume. Use STORAGE_ID:0 and the 'import-from' parameter to import from an existing volume.
import-working-storage;string;;<storage ID>;A file-based storage with 'images' content-type enabled, which is used as an intermediary extraction storage during import. Defaults to the source storage.
ipconfig[n];string;;[gw=<GatewayIPv4>] [,gw6=<GatewayIPv6>] [,ip=<IPv4Format/CIDR>] [,ip6=<IPv6Format/CIDR>];cloud-init: Specify IP addresses and gateways for the corresponding interface. IP addresses use CIDR notation, gateways are optional but need an IP of the same type specified. The special string 'dhcp' can be used for IP addresses to use DHCP, in which case no explicit gateway should be provided. For IPv6 the special string 'auto' can be used to use stateless autoconfiguration. This requires cloud-init 19.4 or newer. If cloud-init is enabled and neither an IPv4 nor an IPv6 address is specified, it defaults to using dhcp on IPv4.
ivshmem;string;;size=<integer> [,name=<string>];Inter-VM shared memory. Useful for direct communication between VMs, or to the host.
keephugepages;boolean;0;<boolean>;Use together with hugepages. If enabled, hugepages will not not be deleted after VM shutdown and can be used for subsequent starts.
keyboard;enum;;de | de-ch | da | en-gb | en-us | es | fi | fr | fr-be | fr-ca | fr-ch | hu | is | it | ja | lt | mk | nl | no | pl | pt | pt-br | sv | sl | tr;Keyboard layout for VNC server. This option is generally not required and is often better handled from within the guest OS.
kvm;boolean;1;<boolean>;Enable/disable KVM hardware virtualization.
live-restore;boolean;;<boolean>;Start the VM immediately while importing or restoring in the background.
localtime;boolean;;<boolean>;Set the real time clock (RTC) to local time. This is enabled by default if the `ostype` indicates a Microsoft Windows OS.
lock;enum;;backup | clone | create | migrate | rollback | snapshot | snapshot-delete | suspending | suspended;Lock/unlock the VM.
machine;string;;[[type=]<machine type>] [,enable-s3=<1|0>] [,enable-s4=<1|0>] [,viommu=<intel|virtio>];Specify the QEMU machine.
memory;string;;[current=]<integer>;Memory properties.
migrate_downtime;number;0.1;<number> (0 - N);Set maximum tolerated downtime (in seconds) for migrations. Should the migration not be able to converge in the very end, because too much newly dirtied RAM needs to be transferred, the limit will be increased automatically step-by-step until migration can converge.
migrate_speed;integer;0;<integer> (0 - N);Set maximum speed (in MB/s) for migrations. Value 0 is no limit.
name;string;;<string>;Set a name for the VM. Only used on the configuration web interface.
nameserver;string;;<string>;cloud-init: Sets DNS server IP address for a container. Create will automatically use the setting from the host if neither searchdomain nor nameserver are set.
net[n];string;;"[model=]<enum> [,bridge=<bridge>] [,firewall=<1|0>] [,link_down=<1|0>] [,macaddr=<XX:XX:XX:XX:XX:XX>] [,mtu=<integer>] [,queues=<integer>] [,rate=<number>] [,tag=<integer>] [,trunks=<vlanid[;vlanid...]>] [,<model>=<macaddr>]";Specify network devices.
numa;boolean;0;<boolean>;Enable/disable NUMA.
numa[n];string;;"cpus=<id[-id];...> [,hostnodes=<id[-id];...>] [,memory=<number>] [,policy=<preferred|bind|interleave>]";NUMA topology.
onboot;boolean;0;<boolean>;Specifies whether a VM will be started during system bootup.
ostype;enum;;other | wxp | w2k | w2k3 | w2k8 | wvista | win7 | win8 | win10 | win11 | l24 | l26 | solaris;"Specify guest operating system. This is used to enable special optimization/features for specific operating systems: [horizontal] other;; unspecified OS wxp;; Microsoft Windows XP w2k;; Microsoft Windows 2000 w2k3;; Microsoft Windows 2003 w2k8;; Microsoft Windows 2008 wvista;; Microsoft Windows Vista win7;; Microsoft Windows 7 win8;; Microsoft Windows 8/2012/2012r2 win10;; Microsoft Windows 10/2016/2019 win11;; Microsoft Windows 11/2022/2025 l24;; Linux 2.4 Kernel l26;; Linux 2.6 - 6.X Kernel solaris;; Solaris/OpenSolaris/OpenIndiania kernel"
parallel[n];string;;/dev/parport\d+|/dev/usb/lp\d+;Map host parallel devices (n is 0 to 2). NOTE: This option allows direct access to host hardware. So it is no longer possible to migrate such machines - use with special care. CAUTION: Experimental! User reported problems with this option.
pool;string;;<string>;Add the VM to the specified pool.
protection;boolean;0;<boolean>;Sets the protection flag of the VM. This will disable the remove VM and remove disk operations.
reboot;boolean;1;<boolean>;Allow reboot. If set to '0' the VM exit on reboot.
rng0;string;;[source=]</dev/urandom|/dev/random|/dev/hwrng> [,max_bytes=<integer>] [,period=<integer>];Configure a VirtIO-based Random Number Generator.
sata[n];string;;[file=]<volume> [,aio=<native|threads|io_uring>] [,backup=<1|0>] [,bps=<bps>] [,bps_max_length=<seconds>] [,bps_rd=<bps>] [,bps_rd_max_length=<seconds>] [,bps_wr=<bps>] [,bps_wr_max_length=<seconds>] [,cache=<enum>] [,detect_zeroes=<1|0>] [,discard=<ignore|on>] [,format=<enum>] [,import-from=<source volume>] [,iops=<iops>] [,iops_max=<iops>] [,iops_max_length=<seconds>] [,iops_rd=<iops>] [,iops_rd_max=<iops>] [,iops_rd_max_length=<seconds>] [,iops_wr=<iops>] [,iops_wr_max=<iops>] [,iops_wr_max_length=<seconds>] [,mbps=<mbps>] [,mbps_max=<mbps>] [,mbps_rd=<mbps>] [,mbps_rd_max=<mbps>] [,mbps_wr=<mbps>] [,mbps_wr_max=<mbps>] [,media=<cdrom|disk>] [,replicate=<1|0>] [,rerror=<ignore|report|stop>] [,serial=<serial>] [,shared=<1|0>] [,size=<DiskSize>] [,snapshot=<1|0>] [,ssd=<1|0>] [,werror=<enum>] [,wwn=<wwn>];Use volume as SATA hard disk or CD-ROM (n is 0 to 5). Use the special syntax STORAGE_ID:SIZE_IN_GiB to allocate a new volume. Use STORAGE_ID:0 and the 'import-from' parameter to import from an existing volume.
scsi[n];string;;[file=]<volume> [,aio=<native|threads|io_uring>] [,backup=<1|0>] [,bps=<bps>] [,bps_max_length=<seconds>] [,bps_rd=<bps>] [,bps_rd_max_length=<seconds>] [,bps_wr=<bps>] [,bps_wr_max_length=<seconds>] [,cache=<enum>] [,detect_zeroes=<1|0>] [,discard=<ignore|on>] [,format=<enum>] [,import-from=<source volume>] [,iops=<iops>] [,iops_max=<iops>] [,iops_max_length=<seconds>] [,iops_rd=<iops>] [,iops_rd_max=<iops>] [,iops_rd_max_length=<seconds>] [,iops_wr=<iops>] [,iops_wr_max=<iops>] [,iops_wr_max_length=<seconds>] [,iothread=<1|0>] [,mbps=<mbps>] [,mbps_max=<mbps>] [,mbps_rd=<mbps>] [,mbps_rd_max=<mbps>] [,mbps_wr=<mbps>] [,mbps_wr_max=<mbps>] [,media=<cdrom|disk>] [,product=<product>] [,queues=<integer>] [,replicate=<1|0>] [,rerror=<ignore|report|stop>] [,ro=<1|0>] [,scsiblock=<1|0>] [,serial=<serial>] [,shared=<1|0>] [,size=<DiskSize>] [,snapshot=<1|0>] [,ssd=<1|0>] [,vendor=<vendor>] [,werror=<enum>] [,wwn=<wwn>];Use volume as SCSI hard disk or CD-ROM (n is 0 to 30). Use the special syntax STORAGE_ID:SIZE_IN_GiB to allocate a new volume. Use STORAGE_ID:0 and the 'import-from' parameter to import from an existing volume.
scsihw;enum;lsi;lsi | lsi53c810 | virtio-scsi-pci | virtio-scsi-single | megasas | pvscsi;SCSI controller model
searchdomain;string;;<string>;cloud-init: Sets DNS search domains for a container. Create will automatically use the setting from the host if neither searchdomain nor nameserver are set.
serial[n];string;;(/dev/.+|socket);Create a serial device inside the VM (n is 0 to 3), and pass through a host serial device (i.e. /dev/ttyS0), or create a unix socket on the host side (use 'qm terminal' to open a terminal connection). NOTE: If you pass through a host serial device, it is no longer possible to migrate such machines - use with special care. CAUTION: Experimental! User reported problems with this option.
shares;integer;1000;<integer> (0 - 50000);Amount of memory shares for auto-ballooning. The larger the number is, the more memory this VM gets. Number is relative to weights of all other running VMs. Using zero disables auto-ballooning. Auto-ballooning is done by pvestatd.
smbios1;string;;[base64=<1|0>] [,family=<Base64 encoded string>] [,manufacturer=<Base64 encoded string>] [,product=<Base64 encoded string>] [,serial=<Base64 encoded string>] [,sku=<Base64 encoded string>] [,uuid=<UUID>] [,version=<Base64 encoded string>];Specify SMBIOS type 1 fields.
smp;integer;1;<integer> (1 - N);The number of CPUs. Please use option -sockets instead.
sockets;integer;1;<integer> (1 - N);The number of CPU sockets.
spice_enhancements;string;;[foldersharing=<1|0>] [,videostreaming=<off|all|filter>];Configure additional enhancements for SPICE.
sshkeys;string;;<string>;cloud-init: Setup public SSH keys (one key per line, OpenSSH format).
start;boolean;0;<boolean>;Start VM after it was created successfully.
startdate;string;now;(now | YYYY-MM-DD | YYYY-MM-DDTHH:MM:SS);Set the initial date of the real time clock. Valid format for date are:'now' or '2006-06-17T16:01:21' or '2006-06-17'.
startup;string;;[[order=]\d+] [,up=\d+] [,down=\d+];Startup and shutdown behavior. Order is a non-negative number defining the general startup order. Shutdown in done with reverse ordering. Additionally you can set the 'up' or 'down' delay in seconds, which specifies a delay to wait before the next VM is started or stopped.
storage;string;;<storage ID>;Default storage.
tablet;boolean;1;<boolean>;Enable/disable the USB tablet device. This device is usually needed to allow absolute mouse positioning with VNC. Else the mouse runs out of sync with normal VNC clients. If you're running lots of console-only guests on one host, you may consider disabling this to save some context switches. This is turned off by default if you use spice (`qm set <vmid> --vga qxl`).
tags;string;;<string>;Tags of the VM. This is only meta information.
tdf;boolean;0;<boolean>;Enable/disable time drift fix.
template;boolean;0;<boolean>;Enable/disable Template.
tpmstate0;string;;[file=]<volume> [,import-from=<source volume>] [,size=<DiskSize>] [,version=<v1.2|v2.0>];Configure a Disk for storing TPM state. The format is fixed to 'raw'. Use the special syntax STORAGE_ID:SIZE_IN_GiB to allocate a new volume. Note that SIZE_IN_GiB is ignored here and 4 MiB will be used instead. Use STORAGE_ID:0 and the 'import-from' parameter to import from an existing volume.
unique;boolean;;<boolean>;Assign a unique random ethernet address.
unused[n];string;;[file=]<volume>;Reference to unused volumes. This is used internally, and should not be modified manually.
usb[n];string;;[[host=]<HOSTUSBDEVICE|spice>] [,mapping=<mapping-id>] [,usb3=<1|0>];Configure an USB device (n is 0 to 4, for machine version >= 7.1 and ostype l26 or windows > 7, n can be up to 14).
vcpus;integer;0;<integer> (1 - N);Number of hotplugged vcpus.
vga;string;;[[type=]<enum>] [,clipboard=<vnc>] [,memory=<integer>];Configure the VGA Hardware. If you want to use high resolution modes (>= 1280x1024x16) you may need to increase the vga memory option. Since QEMU 2.9 the default VGA display type is 'std' for all OS types besides some Windows versions (XP and older) which use 'cirrus'. The 'qxl' option enables the SPICE display server. For win* OS you can select how many independent displays you want, Linux guests can add displays them self. You can also run without any graphic card, using a serial device as terminal.
virtio[n];string;;[file=]<volume> [,aio=<native|threads|io_uring>] [,backup=<1|0>] [,bps=<bps>] [,bps_max_length=<seconds>] [,bps_rd=<bps>] [,bps_rd_max_length=<seconds>] [,bps_wr=<bps>] [,bps_wr_max_length=<seconds>] [,cache=<enum>] [,detect_zeroes=<1|0>] [,discard=<ignore|on>] [,format=<enum>] [,import-from=<source volume>] [,iops=<iops>] [,iops_max=<iops>] [,iops_max_length=<seconds>] [,iops_rd=<iops>] [,iops_rd_max=<iops>] [,iops_rd_max_length=<seconds>] [,iops_wr=<iops>] [,iops_wr_max=<iops>] [,iops_wr_max_length=<seconds>] [,iothread=<1|0>] [,mbps=<mbps>] [,mbps_max=<mbps>] [,mbps_rd=<mbps>] [,mbps_rd_max=<mbps>] [,mbps_wr=<mbps>] [,mbps_wr_max=<mbps>] [,media=<cdrom|disk>] [,replicate=<1|0>] [,rerror=<ignore|report|stop>] [,ro=<1|0>] [,serial=<serial>] [,shared=<1|0>] [,size=<DiskSize>] [,snapshot=<1|0>] [,werror=<enum>];Use volume as VIRTIO hard disk (n is 0 to 15). Use the special syntax STORAGE_ID:SIZE_IN_GiB to allocate a new volume. Use STORAGE_ID:0 and the 'import-from' parameter to import from an existing volume.
virtiofs[n];string;;[dirid=]<mapping-id> [,cache=<enum>] [,direct-io=<1|0>] [,expose-acl=<1|0>] [,expose-xattr=<1|0>];Configuration for sharing a directory between host and guest using Virtio-fs.
vmgenid;string;1 (autogenerated);(?:[a-fA-F0-9]{8}(?:-[a-fA-F0-9]{4}){3}-[a-fA-F0-9]{12}|[01]);The VM generation ID (vmgenid) device exposes a 128-bit integer value identifier to the guest OS. This allows to notify the guest operating system when the virtual machine is executed with a different configuration (e.g. snapshot execution or creation from a template). The guest operating system notices the change, and is then able to react as appropriate by marking its copies of distributed databases as dirty, re-initializing its random number generator, etc. Note that auto-creation only works when done through API/CLI create or update methods, but not when manually editing the config file.
vmstatestorage;string;;<storage ID>;Default storage for VM state volumes/files.
watchdog;string;;[[model=]<i6300esb|ib700>] [,action=<enum>];Create a virtual hardware watchdog device. Once enabled (by a guest action), the watchdog must be periodically polled by an agent inside the guest or else the watchdog will reset the guest (or execute the respective action specified)
